Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
18,dc_sweep,cgg_pmos_svt,173.7e-15,,,
18,dc_sweep,cdd_pmos_svt,90.53e-15,,,
18,dc_sweep,css_pmos_svt,99.54e-15,,,
18,dc_sweep,gm_pmos_svt,0,,,
18,dc_sweep,gmb_pmos_svt,0,,,
18,dc_sweep,gds_pmos_svt,620.3e-9,,,
18,dc_sweep,id_pmos_svt,118.8e-12,,,
18,dc_sweep,sth_pmos_svt,15.71e-27,,,
18,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1u, sb=0",,,,,,
19,dc_sweep,cgg_nmos_svt,277.8e-15,,,
19,dc_sweep,cdd_nmos_svt,283e-15,,,
19,dc_sweep,css_nmos_svt,260.3e-15,,,
19,dc_sweep,gm_nmos_svt,0,,,
19,dc_sweep,gmb_nmos_svt,0,,,
19,dc_sweep,gds_nmos_svt,1.63e-3,,,
19,dc_sweep,id_nmos_svt,-2.588e-15,,,
19,dc_sweep,sth_nmos_svt,28.51e-24,,,
19,dc_sweep,sfl_nmos_svt,0,,,
19,dc_sweep,cgg_pmos_svt,411.5e-15,,,
19,dc_sweep,cdd_pmos_svt,370.9e-15,,,
19,dc_sweep,css_pmos_svt,431.7e-15,,,
19,dc_sweep,gm_pmos_svt,0,,,
19,dc_sweep,gmb_pmos_svt,0,,,
19,dc_sweep,gds_pmos_svt,875.7e-6,,,
19,dc_sweep,id_pmos_svt,1.61e-9,,,
19,dc_sweep,sth_pmos_svt,17.39e-24,,,
19,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1u, sb=250m",,,,,,
20,dc_sweep,cgg_nmos_svt,272e-15,,,
20,dc_sweep,cdd_nmos_svt,269.3e-15,,,
20,dc_sweep,css_nmos_svt,249.5e-15,,,
20,dc_sweep,gm_nmos_svt,0,,,
20,dc_sweep,gmb_nmos_svt,0,,,
20,dc_sweep,gds_nmos_svt,1.347e-3,,,
20,dc_sweep,id_nmos_svt,-2.58e-15,,,
20,dc_sweep,sth_nmos_svt,23.67e-24,,,
20,dc_sweep,sfl_nmos_svt,0,,,
20,dc_sweep,cgg_pmos_svt,403.6e-15,,,
20,dc_sweep,cdd_pmos_svt,358.1e-15,,,
20,dc_sweep,css_pmos_svt,415.2e-15,,,
20,dc_sweep,gm_pmos_svt,0,,,
20,dc_sweep,gmb_pmos_svt,0,,,
20,dc_sweep,gds_pmos_svt,717.4e-6,,,
20,dc_sweep,id_pmos_svt,1.614e-9,,,
20,dc_sweep,sth_pmos_svt,14.4e-24,,,
20,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1u, sb=500m",,,,,,
21,dc_sweep,cgg_nmos_svt,265.6e-15,,,
21,dc_sweep,cdd_nmos_svt,257e-15,,,
21,dc_sweep,css_nmos_svt,239.7e-15,,,
21,dc_sweep,gm_nmos_svt,0,,,
21,dc_sweep,gmb_nmos_svt,0,,,
21,dc_sweep,gds_nmos_svt,1.113e-3,,,
21,dc_sweep,id_nmos_svt,-2.676e-15,,,
21,dc_sweep,sth_nmos_svt,19.67e-24,,,
21,dc_sweep,sfl_nmos_svt,0,,,
21,dc_sweep,cgg_pmos_svt,395.2e-15,,,
21,dc_sweep,cdd_pmos_svt,346.2e-15,,,
21,dc_sweep,css_pmos_svt,399.9e-15,,,
21,dc_sweep,gm_pmos_svt,0,,,
21,dc_sweep,gmb_pmos_svt,0,,,
21,dc_sweep,gds_pmos_svt,582.3e-6,,,
21,dc_sweep,id_pmos_svt,1.619e-9,,,
21,dc_sweep,sth_pmos_svt,11.83e-24,,,
21,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1.5u, sb=0",,,,,,
22,dc_sweep,cgg_nmos_svt,415.7e-15,,,
22,dc_sweep,cdd_nmos_svt,412.2e-15,,,
22,dc_sweep,css_nmos_svt,385.5e-15,,,
22,dc_sweep,gm_nmos_svt,0,,,
22,dc_sweep,gmb_nmos_svt,0,,,
22,dc_sweep,gds_nmos_svt,1.164e-3,,,
22,dc_sweep,id_nmos_svt,-4.002e-15,,,
22,dc_sweep,sth_nmos_svt,20.31e-24,,,
22,dc_sweep,sfl_nmos_svt,0,,,
22,dc_sweep,cgg_pmos_svt,614.1e-15,,,
22,dc_sweep,cdd_pmos_svt,548.5e-15,,,
22,dc_sweep,css_pmos_svt,624.9e-15,,,
22,dc_sweep,gm_pmos_svt,0,,,
22,dc_sweep,gmb_pmos_svt,0,,,
22,dc_sweep,gds_pmos_svt,645.3e-6,,,
22,dc_sweep,id_pmos_svt,2.426e-9,,,
22,dc_sweep,sth_pmos_svt,12.75e-24,,,
22,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1.5u, sb=250m",,,,,,
23,dc_sweep,cgg_nmos_svt,407.8e-15,,,
23,dc_sweep,cdd_nmos_svt,393e-15,,,
23,dc_sweep,css_nmos_svt,370.4e-15,,,
23,dc_sweep,gm_nmos_svt,0,,,
23,dc_sweep,gmb_nmos_svt,0,,,
23,dc_sweep,gds_nmos_svt,972.4e-6,,,
23,dc_sweep,id_nmos_svt,-4.035e-15,,,
23,dc_sweep,sth_nmos_svt,17.04e-24,,,
23,dc_sweep,sfl_nmos_svt,0,,,
23,dc_sweep,cgg_pmos_svt,603.2e-15,,,
23,dc_sweep,cdd_pmos_svt,530.4e-15,,,
23,dc_sweep,css_pmos_svt,602e-15,,,
23,dc_sweep,gm_pmos_svt,0,,,
23,dc_sweep,gmb_pmos_svt,0,,,
23,dc_sweep,gds_pmos_svt,536e-6,,,
23,dc_sweep,id_pmos_svt,2.432e-9,,,
23,dc_sweep,sth_pmos_svt,10.69e-24,,,
23,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=1.5u, sb=500m",,,,,,
24,dc_sweep,cgg_nmos_svt,399.3e-15,,,
24,dc_sweep,cdd_nmos_svt,376e-15,,,
24,dc_sweep,css_nmos_svt,356.8e-15,,,
